2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/pruebas-de-acceso-a-grado-medio/ficheros-pruebas-acceso-grado-medio/GM-PruebaAcceso-Mecánica.pdf
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/pruebas-de-acceso-a-grado-medio/ficheros-pruebas-acceso-grado-medio/GM-PruebaAcceso-MateriaEnergia.pdf
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/pruebas-de-acceso-a-grado-medio/ficheros-pruebas-acceso-grado-medio/GM-PruebaAcceso-Mecánica-soluc.pdf
2021-08-01 13:54:42 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/pruebas-de-acceso-a-grado-medio/normativa-y-curriculo-pruebas-acceso-grado-medio/GM-Temario-Anexo5-Orden4879-2008.pdf
2021-08-01 13:54:42 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/fpbasica/moduloprofesionalcienciasaplicadasi3009/curriculomoduloprofesionalcienciasaplicadasi3009
2021-08-01 13:54:42 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
2021-08-01 13:54:42 DEBUG    [29]HTML2mdConverter.py: Replace link description with the page title http://www.bocm.es/boletin/CM_Orden_BOCM/2020/05/18/BOCM-20200518-1.PDF#page=22
2021-08-01 13:54:43 DEBUG    [59]HTML2md.py: Copying: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/.DS_Store
2021-08-01 13:54:43 DEBUG    [48]HTML2md.py: HTML2MD: /Users/joaquin/PycharmProjects/fiquipedia-html/www.fiquipedia.es/home/materias/eso/curriculo-fisica-y-quimica-2-eso
2021-08-01 13:54:43 INFO     [49]__init__.py: file_cache is only supported with oauth2client<4.0.0
